item-db  | 2023-06-26T09:46:00.644+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=7f2c417a3ae1
item-db  | 2023-06-26T09:46:00.644+0000 I CONTROL  [initandlisten] db version v3.6.23
item-db  | 2023-06-26T09:46:00.644+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
item-db  | 2023-06-26T09:46:00.644+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
item-db  | 2023-06-26T09:46:00.644+0000 I CONTROL  [initandlisten] allocator: tcmalloc
item-db  | 2023-06-26T09:46:00.645+0000 I CONTROL  [initandlisten] modules: none
item-db  | 2023-06-26T09:46:00.645+0000 I CONTROL  [initandlisten] build environment:
item-db  | 2023-06-26T09:46:00.645+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
item-db  | 2023-06-26T09:46:00.645+0000 I CONTROL  [initandlisten]     distarch: aarch64
item-db  | 2023-06-26T09:46:00.645+0000 I CONTROL  [initandlisten]     target_arch: aarch64
item-db  | 2023-06-26T09:46:00.645+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
item-db  | 2023-06-26T09:46:00.646+0000 I -        [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
item-db  | 2023-06-26T09:46:00.646+0000 I STORAGE  [initandlisten] 
item-db  | 2023-06-26T09:46:00.646+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
item-db  | 2023-06-26T09:46:00.646+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
item-db  | 2023-06-26T09:46:00.646+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=482M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
item-db  | 2023-06-26T09:46:01.319+0000 I STORAGE  [initandlisten] WiredTiger message [1687772761:319225][1:0xffff9278f000], txn-recover: Main recovery loop: starting at 3/18304
item-db  | 2023-06-26T09:46:01.467+0000 I STORAGE  [initandlisten] WiredTiger message [1687772761:467691][1:0xffff9278f000], txn-recover: Recovering log 3 through 4
item-db  | 2023-06-26T09:46:01.527+0000 I STORAGE  [initandlisten] WiredTiger message [1687772761:527419][1:0xffff9278f000], txn-recover: Recovering log 4 through 4
item-db  | 2023-06-26T09:46:01.567+0000 I STORAGE  [initandlisten] WiredTiger message [1687772761:567764][1:0xffff9278f000], txn-recover: Set global recovery timestamp: 0
item-db  | 2023-06-26T09:46:01.592+0000 I CONTROL  [initandlisten] 
item-db  | 2023-06-26T09:46:01.592+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
item-db  | 2023-06-26T09:46:01.592+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
item-db  | 2023-06-26T09:46:01.592+0000 I CONTROL  [initandlisten] 
item-db  | 2023-06-26T09:46:01.607+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
item-db  | 2023-06-26T09:46:01.608+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
item-db  | 2023-06-26T09:46:01.609+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
item-db  | 2023-06-26T09:46:01.609+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
item-db  | 2023-06-26T09:46:01.774+0000 I NETWORK  [listener] connection accepted from 172.26.0.3:33154 #1 (1 connection now open)
item-db  | 2023-06-26T09:46:01.776+0000 I NETWORK  [conn1] received client metadata from 172.26.0.3:33154 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "arm64", version: "5.15.49-linuxkit-pr" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
item-db  | 2023-06-26T09:46:02.023+0000 I NETWORK  [conn1] end connection 172.26.0.3:33154 (0 connections now open)
item-db  | 2023-06-26T09:46:02.115+0000 I CONTROL  [signalProcessingThread] got signal 15 (Terminated), will terminate after current cmd ends
